"Publisher";"NA_Sales";"EU_Sales";"JP_Sales";"Other_Sales"
Glams;1.0;1.0;1.0;1.0
Crimson Cow;2.0;2.0;2.0;2.0
Tripwire Interactive;1.0;1.0;1.0;1.0
Telstar;3.0;3.0;3.0;3.0
Prototype;27.0;27.0;27.0;27.0
Mirai Shounen;1.0;1.0;1.0;1.0
LEGO Media;7.0;7.0;7.0;7.0
iWin;1.0;1.0;1.0;1.0
Kamui;1.0;1.0;1.0;1.0
fonfun;1.0;1.0;1.0;1.0
Yeti;10.0;10.0;10.0;10.0
"7G//AMES";4.0;4.0;4.0;4.0
Nobilis;13.0;13.0;13.0;13.0
EA Games;1.0;1.0;1.0;1.0
Metro 3D;12.0;12.0;12.0;12.0
Fox Interactive;8.0;8.0;8.0;8.0
Midas Interactive Entertainment;24.0;24.0;24.0;24.0
Mad Catz;3.0;3.0;3.0;3.0
Yamasa Entertainment;2.0;2.0;2.0;2.0
Warp;1.0;1.0;1.0;1.0
Headup Games;1.0;1.0;1.0;1.0
American Softworks;1.0;1.0;1.0;1.0
Rebellion;2.0;2.0;2.0;2.0
Coleco;5.0;5.0;5.0;5.0
Milestone S.r.l;2.0;2.0;2.0;2.0
Rondomedia;14.0;14.0;14.0;14.0
U.S. Gold;4.0;4.0;4.0;4.0
Sammy Corporation;11.0;11.0;11.0;11.0
Nippon Ichi Software;105.0;105.0;105.0;105.0
Brash Entertainment;10.0;10.0;10.0;10.0
Adeline Software;1.0;1.0;1.0;1.0
Bomb;1.0;1.0;1.0;1.0
Banpresto;73.0;73.0;73.0;73.0
Interplay Productions;1.0;1.0;1.0;1.0
Empire Interactive;52.0;52.0;52.0;52.0
Asmik Ace Entertainment;3.0;3.0;3.0;3.0
Kool Kizz;1.0;1.0;1.0;1.0
Mumbo Jumbo;6.0;6.0;6.0;6.0
King Records;1.0;1.0;1.0;1.0
Tigervision;3.0;3.0;3.0;3.0
Irem Software Engineering;12.0;12.0;12.0;12.0
Alternative Software;6.0;6.0;6.0;6.0
From Software;15.0;15.0;15.0;15.0
The Learning Company;1.0;1.0;1.0;1.0
Indie Games;3.0;3.0;3.0;3.0
Neko Entertainment;7.0;7.0;7.0;7.0
Activision Value;29.0;29.0;29.0;29.0
Athena;2.0;2.0;2.0;2.0
Datam Polystar;2.0;2.0;2.0;2.0
Playmates;1.0;1.0;1.0;1.0
Panther Software;1.0;1.0;1.0;1.0
GT Interactive;45.0;45.0;45.0;45.0
Vap;1.0;1.0;1.0;1.0
Playmore;1.0;1.0;1.0;1.0
Interworks Unlimited, Inc.;1.0;1.0;1.0;1.0
Havas Interactive;1.0;1.0;1.0;1.0
UEP Systems;1.0;1.0;1.0;1.0
Abylight;1.0;1.0;1.0;1.0
Ecole;1.0;1.0;1.0;1.0
Takara Tomy;37.0;37.0;37.0;37.0
Essential Games;3.0;3.0;3.0;3.0
PlayV;4.0;4.0;4.0;4.0
Interchannel-Holon;1.0;1.0;1.0;1.0
Societa;1.0;1.0;1.0;1.0
Deep Silver;122.0;122.0;122.0;122.0
Quintet;1.0;1.0;1.0;1.0
Destination Software, Inc;12.0;12.0;12.0;12.0
"49Games";1.0;1.0;1.0;1.0
Nexon;1.0;1.0;1.0;1.0
Capcom;381.0;381.0;381.0;381.0
Syscom;2.0;2.0;2.0;2.0
Gaga;1.0;1.0;1.0;1.0
Enix Corporation;30.0;30.0;30.0;30.0
Crave Entertainment;71.0;71.0;71.0;71.0
Shogakukan;5.0;5.0;5.0;5.0
Navarre Corp;1.0;1.0;1.0;1.0
Gainax Network Systems;2.0;2.0;2.0;2.0
Sony Music Entertainment;1.0;1.0;1.0;1.0
System 3;3.0;3.0;3.0;3.0
Interplay;30.0;30.0;30.0;30.0
DreamCatcher Interactive;17.0;17.0;17.0;17.0
Naxat Soft;1.0;1.0;1.0;1.0
Warner Bros. Interactive Entertainment;232.0;232.0;232.0;232.0
Gamecock;4.0;4.0;4.0;4.0
NCSoft;6.0;6.0;6.0;6.0
"1C Company";3.0;3.0;3.0;3.0
D3Publisher;184.0;184.0;184.0;184.0
Tivola;3.0;3.0;3.0;3.0
Starpath Corp.;1.0;1.0;1.0;1.0
Benesse;6.0;6.0;6.0;6.0
Gremlin Interactive Ltd;9.0;9.0;9.0;9.0
